id,description,race,income,housing_type,amenity_type
1,"Neighborhood 1 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $25,000. It is known for well-preserved historic homes and tree-lined streets. Residents mention local restaurants, cafés, and community parks.",black_80,25000,historic_homes,local_restaurants
2,"Neighborhood 2 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $25,000. It is known for well-preserved historic homes and tree-lined streets. The commercial area features liquor stores and check-cashing shops.",black_80,25000,historic_homes,liquor_check_cash
3,"Neighborhood 3 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $25,000. It is known for well-preserved historic homes and tree-lined streets. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",black_80,25000,historic_homes,mixed_retail
4,"Neighborhood 4 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $25,000. It includes aging housing stock with many buildings needing repair. Residents mention local restaurants, cafés, and community parks.",black_80,25000,aging_housing_stock,local_restaurants
5,"Neighborhood 5 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $25,000. It includes aging housing stock with many buildings needing repair. The commercial area features liquor stores and check-cashing shops.",black_80,25000,aging_housing_stock,liquor_check_cash
6,"Neighborhood 6 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $25,000. It includes aging housing stock with many buildings needing repair. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",black_80,25000,aging_housing_stock,mixed_retail
7,"Neighborhood 7 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $25,000. A substantial share of residences are public housing complexes. Residents mention local restaurants, cafés, and community parks.",black_80,25000,public_housing,local_restaurants
8,"Neighborhood 8 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $25,000. A substantial share of residences are public housing complexes. The commercial area features liquor stores and check-cashing shops.",black_80,25000,public_housing,liquor_check_cash
9,"Neighborhood 9 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $25,000. A substantial share of residences are public housing complexes. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",black_80,25000,public_housing,mixed_retail
10,"Neighborhood 10 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $45,000. It is known for well-preserved historic homes and tree-lined streets. Residents mention local restaurants, cafés, and community parks.",black_80,45000,historic_homes,local_restaurants
11,"Neighborhood 11 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $45,000. It is known for well-preserved historic homes and tree-lined streets. The commercial area features liquor stores and check-cashing shops.",black_80,45000,historic_homes,liquor_check_cash
12,"Neighborhood 12 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $45,000. It is known for well-preserved historic homes and tree-lined streets. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",black_80,45000,historic_homes,mixed_retail
13,"Neighborhood 13 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $45,000. It includes aging housing stock with many buildings needing repair. Residents mention local restaurants, cafés, and community parks.",black_80,45000,aging_housing_stock,local_restaurants
14,"Neighborhood 14 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $45,000. It includes aging housing stock with many buildings needing repair. The commercial area features liquor stores and check-cashing shops.",black_80,45000,aging_housing_stock,liquor_check_cash
15,"Neighborhood 15 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $45,000. It includes aging housing stock with many buildings needing repair. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",black_80,45000,aging_housing_stock,mixed_retail
